route_a,a_route_short_name,a_route_long_name,route_b,b_route_short_name,b_route_long_name,overlap_metric,overlap_value,shared_stops,route_a_stops,route_b_stops
LTFRB_PUJ1460,,"MCU - Pasay Rotonda via Rizal Ave., Mabini",LTFRB_PUJ1794,,MCU LIBERTADvi MABINIF HARRISON,jaccard,0.8064516129032258,50,57,55
LTFRB_PUJ2037,,BLUMENTRITT - REMEDIOS via QUIAPO,LTFRB_PUJ2038,,BLUMENTRITT - REMEDIOS via QUIAPO,jaccard,0.8064516129032258,25,28,28
LTFRB_PUJ1367,,Guadalupe (ABC) - Pateros,LTFRB_PUJ1748,,GUADALUPE-PATEROS via JP RIZAL,jaccard,0.8064516129032258,25,29,27
LTFRB_PUJ1366,,Guadalupe (ABC) - Pateros,LTFRB_PUJ1368,,Guadalupe (ABC) - Taguig via Tipas,jaccard,0.8064516129032258,25,25,31
LTFRB_PUJ1532,,Philcoa - T.M. Kalaw via Quezon Ave.,LTFRB_PUJ1595,,T.M. Kalaw - Balara via Katipunan,jaccard,0.8064516129032258,50,58,54
LTFRB_PUJ1805,,LAGRO - RIZAL AVE via A. BONIFACIO,LTFRB_PUJ1823,,NOVALICHES - RIZAL AVE. via BANAL,jaccard,0.8059701492537313,54,59,62
LTFRB_PUB1121,,"Baclaran-Malanday via Edsa, McArthur",LTFRB_PUB1123,,"Baclaran-Malanday viaEDSA, McArthur, Ayala",jaccard,0.8057553956834532,112,121,130
LTFRB_PUJ1225,,"Cubao-Divisoria via Sta.Mesa,Aurora Blvd.",LTFRB_PUJ1270,,"Divisoria - Murphy via Legarda, Aurora Blvd.",jaccard,0.8055555555555556,29,29,36
LTFRB_PUJ1495,,Novaliches TP - Gumaoc - Palmera Subd. (SJDM),LTFRB_PUJ2370,,Novaliches Palmera (SJDM),jaccard,0.8055555555555556,58,69,61
LTFRB_PUJ1224,,"Cubao-Divisoria via Sta.Mesa,Aurora Blvd.",LTFRB_PUJ1974,,DIVISORIA - CUBAO via YALE,jaccard,0.8055555555555556,29,32,33
LTFRB_PUJ1912,,MALINTA - MALOLOS,LTFRB_PUJ2535,,Malinta Hagonoy via Meycauayan,jaccard,0.8051948051948052,62,63,76
LTFRB_PUJ1913,,MALINTA - MALOLOS,LTFRB_PUJ2535,,Malinta Hagonoy via Meycauayan,jaccard,0.8051948051948052,62,63,76
LTFRB_PUB1041,,Baclaran SM Fairview via Lagro,LTFRB_PUB1132,,Baclaran - SM Fairview via Lagro C'wealth,jaccard,0.8046875,103,114,117
LTFRB_PUJ1940,,FAIRVIEW - QUIAPO,LTFRB_PUJ2323,,Fairview Wet Market TM Kalaw,jaccard,0.8045977011494253,70,81,76
LTFRB_PUB1120,,"Baclaran-Malanday via Edsa, McArthur",LTFRB_PUB1121,,"Baclaran-Malanday via Edsa, McArthur",jaccard,0.8045112781954887,107,119,121
LTFRB_PUJ1636,,EDSA/Shaw Central - Morong,LTFRB_PUJ1638,,"EDSA/Shaw Central - Morong via Antipolo, Theresa",jaccard,0.8043478260869565,111,119,130
LTFRB_PUB1016,,Ayala Grotto (SJDM) via Leveriza,LTFRB_PUB1070,,Ayala Grotto via EDSA,jaccard,0.8043478260869565,111,131,118
LTFRB_PUJ2170,,Balintawak Blumentritt via Bonifacio,LTFRB_PUJ2297,,Balintawak Novaliches via Quirino highway,jaccard,0.8043478260869565,37,45,38
LTFRB_PUJ1680,,PIER SOUTH-FAIRVIEW DAHLIA-PHILCOA,LTFRB_PUJ1941,,FAIRVIEW - QUIAPO,jaccard,0.8041237113402062,78,93,82
LTFRB_PUJ2476,,Baliwag Malinta,LTFRB_PUJ2544,,Meycauayan Malolos,jaccard,0.803921568627451,41,51,41
LTFRB_PUJ2476,,Baliwag Malinta,LTFRB_PUJ2545,,Meycauayan Malolos,jaccard,0.803921568627451,41,51,41
LTFRB_PUB1027,,Ayala UE Caloocan via EDSA,LTFRB_PUB1059,,Taguig City Navotas,jaccard,0.8037383177570093,86,87,106
LTFRB_PUJ1200,,Cainta Junction - Cubao via Ortigas Ave. Ext.,LTFRB_PUJ1201,,Cainta Junction - Cubao via Ortigas Ave. Ext.,jaccard,0.8032786885245902,49,57,53
LTFRB_PUB1079,,Malanday MIA via Pasay Rtda MOA Coastal Road,LTFRB_PUB1092,,"Alabang - Malanday via EDSA, McArthur",jaccard,0.8031496062992126,102,123,106
LTFRB_PUB1032,,Baclaran Malanday via EDSA,LTFRB_PUB1074,,Ayala Malanday via EDSA,jaccard,0.8031496062992126,102,127,102
LTFRB_PUB1123,,"Baclaran-Malanday viaEDSA, McArthur, Ayala",LTFRB_PUB1166,,"Malanday Term - NAIA viaEDSA, Buendia, Ayala",jaccard,0.8029197080291971,110,130,117
LTFRB_PUJ1041,,Almanza ( Las Piñas ) - Baclaran,LTFRB_PUJ2087,,BACLARAN - ALABANG via SAN DIONISIO,jaccard,0.8028169014084507,57,57,71
LTFRB_PUJ1348,,rancisco Homes - Novaliches (TP) via Quirino Hi-way,LTFRB_PUJ1349,,rancisco Homes - Novaliches (TP) via Quirino Hi-way,jaccard,0.8026315789473685,61,71,66
LTFRB_PUJ1941,,FAIRVIEW - QUIAPO,LTFRB_PUJ2324,,Fairview Wet Market TM Kalaw,jaccard,0.8023255813953488,69,82,73
LTFRB_PUJ2206,,EDSA Shaw Angono,LTFRB_PUJ2597,,Angono EDSA Shaw Blvd,jaccard,0.8023255813953488,69,75,80
LTFRB_PUJ1395,,Lagro - Panay Ave. via Quezon Ave.,LTFRB_PUJ1396,,Lagro - Welcome Rotonda via Quezon Ave.,jaccard,0.8023255813953488,69,72,83
LTFRB_PUB1031,,Baclaran Malanday via EDSA,LTFRB_PUB1082,,Malanday Sucat via EDSA,jaccard,0.8015267175572519,105,111,125
LTFRB_PUJ1114,,Bagumbayan (Taguig) - Sucat,LTFRB_PUJ1590,,Sucat Hi-way - Bagumbayan,jaccard,0.8,8,8,10
LTFRB_PUJ2249,,Marcos Ave Tandang Sora Balintawak,LTFRB_PUJ2250,,Marcos Ave Tandang Sora Balintawak,jaccard,0.8,24,30,24
LTFRB_PUJ2247,,Libertad Vito Cruz via FB Harrizon,LTFRB_PUJ2248,,Libertad Vito Cruz via FB Harrizon,jaccard,0.8,4,4,5
LTFRB_PUJ2231,,Lagro SM North,LTFRB_PUJ2233,,Lagro V Luna Anonas,jaccard,0.8,52,60,57
LTFRB_PUJ1868,,PHILCOA - FAIRVIEW DAHLIA,LTFRB_PUJ1943,,FAIRVIEW - PHILCOA,jaccard,0.8,32,35,37
LTFRB_PUJ1607,,Proj 7 - Quiapo,LTFRB_PUJ2608,,Arroceros Proj 7 via Espana,jaccard,0.8,40,47,43
LTFRB_PUJ1114,,Bagumbayan (Taguig) - Sucat,LTFRB_PUJ1591,,Sucat Hi-way - Bagumbayan,jaccard,0.8,8,8,10
LTFRB_PUJ1524,,Pasay Rotonda - Signal Village,LTFRB_PUJ1783,,PASAY ROTUNDA - FTI via SIGNAL VILLAGE,jaccard,0.8,20,20,25
LTFRB_PUJ1645,,Malinta - Malolos via McArthur Hi-way,LTFRB_PUJ2559,,Monumento Malolos,jaccard,0.8,76,76,95
LTFRB_PUJ1418,,Malabon - Monumento via Letre,LTFRB_PUJ1419,,Malabon - Monumento via Letre,jaccard,0.8,16,20,16
LTFRB_PUB1017,,Ayala Malabon via EDSA,LTFRB_PUB1019,,Ayala Monumento via EDSA,jaccard,0.8,68,85,68
LTFRB_PUJ2182,,Blumentrit Vito Cruz via L Guinto Sta C,LTFRB_PUJ2252,,Pasay Rtda v Sta Cruz Blumentrit,jaccard,0.8,20,23,22
