route_id,route_short_name,route_long_name,circuity_index,actual_time_formatted,shortest_path_time_formatted,start_stop,start_stop_name,end_stop,end_stop_name,actual_time_seconds,shortest_path_time_seconds
LTFRB_PUJ1610,,proj. 8 - Quiapo,1.2887596899224807,01:06:30,00:51:36,LTFRB_1778,"Quezon Blvd, Manila",LTFRB_1208,"Jetti Petrol Station, Tanding Sora Avenue, Quezon City",3990.0,3096.0
LTFRB_PUJ2571,,Munoz-Remedios via Sta Cruz,1.2866394001363326,01:02:55,00:48:54,LTFRB_1689,"Leon Guinto Sr., Manila",LTFRB_1292,"Roosevelt Avenue / Adams Intersection, Quezon City",3775.0,2934.0
LTFRB_PUJ1354,,Frisco - Pier South via Sta. Cruz,1.286479250334672,00:48:03,00:37:21,LTFRB_1631,"25th St / Antonio C. Delgado Intersection, Manila",LTFRB_1283,"Del Monte Avenue / Roosevelt Avenue Intersection, Quezon City",2883.0,2241.0
LTFRB_PUJ1555,,"Proj. 2 & 3 - Q. Mart via Anonas, Kamias",1.286072772898369,00:17:05,00:13:17,LTFRB_2219,"Molave, Quezon City, Manila",LTFRB_2119,"Kamias Rd / Colonel Salgado Intersection, Quezon City, Manila",1025.0,797.0
LTFRB_PUJ2101,,ARROCEROS - FAIRVIEW MARKET,1.2832263978001832,01:56:40,01:30:55,LTFRB_1778,"Quezon Blvd, Manila",LTFRB_551,"Quirino Highway / Maligaya Intersection, Caloocan City",7000.0,5455.0
LTFRB_PUJ1754,,FRISCO-VITO CRUZvia MABINI,1.2808683853459972,01:02:56,00:49:08,LTFRB_1703,"HP Village Square, Pablo Ocampo Sr., Manila",LTFRB_1282,"7/11 Del Monte Avenue, Quezon City",3776.0,2948.0
LTFRB_PUB1117,,Baclaran-BgSilang via Edsa Commonwealth,1.2804428044280443,03:22:25,02:38:05,LTFRB_2294,"Diosdado Macapagal Blvd, Lungsod ng Pasay, Manila",LTFRB_497,"Green Construction Supply, Langit Road, Caloocan City",12145.0,9485.0
LTFRB_PUB1180,,Pacita Complex - Navotas Term via EDSA,1.279762402744081,04:14:57,03:19:13,LTFRB_4446,"MMDA Navotos Bus Terminal, Circumferential Road 4, Navotas City, Manila",LTFRB_4299,"Pacita Bus Terminal,  Pacita Av, San Pedro, Manila",15297.0,11953.0
LTFRB_PUJ1224,,"Cubao-Divisoria via Sta.Mesa,Aurora Blvd.",1.278282411230388,00:51:36,00:40:22,LTFRB_1551,"Claro M. Recto Ave / Jose Abad Santos Ave. Intersection, Manila",LTFRB_2178,"Aurora Blvd / General Aguinaldo Ave Intersection, Quezon City, Manila",3096.0,2422.0
LTFRB_PUJ1044,,Antipolo - Cubao via Marcos Highway,1.2782819116757411,01:45:39,01:22:39,LTFRB_2172,"8th Ave, Quezon City, Manila",LTFRB_3573,"Martinez St / R. De Jesus Intersection, Antipolo City, Manila",6339.0,4959.0
LTFRB_PUB1130,,Baclaran-Nvaliches via EDSA Mind AveAyala,1.276965265082267,02:42:59,02:07:38,LTFRB_746,"Quirino Highway, Quezon City",LTFRB_2306,"Roxas Blvd, Parañaque City, Manila",9779.0,7658.0
LTFRB_PUJ1236,,Cubao (Arayat) - V. Luna via Ybardolaza,1.2754590984974958,00:25:28,00:19:58,LTFRB_2142,"P. A. Bernardo, Quezon City, Manila",LTFRB_2256,"V. Luna Hospital, V. Luna Ave, Quezon City, Manila",1528.0,1198.0
LTFRB_PUB1161,,Lagro - NAIA via Fairview,1.275330899132816,03:06:17,02:26:04,LTFRB_2401,"Maria, Parañaque City, Manila",LTFRB_551,"Quirino Highway / Maligaya Intersection, Caloocan City",11177.0,8764.0
LTFRB_PUJ1205,,Calumpang - Stop & Shop via Aurora Blvd.,1.2745889818286704,01:13:39,00:57:47,LTFRB_3770,"J. P. Rizal St, Marikina City, Manila",LTFRB_1846,"Internet Cafe, Old Sta. Mesa, Manila",4419.0,3467.0
