stop_id,out_degree,stop_name,stop_lat,stop_lon
LTFRB_1696,6,"Taft Avenue, Manila",14.5651,120.994
LTFRB_1952,6,"Epifanio de los Santos Avenue / Skyway , Lungsod ng Makati, Manila",14.5405,121.017
LTFRB_1367,6,"Systems Technology Institute, Quezon Avenue, Quezon City",14.6292,121.014
LTFRB_1369,6,"Hayundai, Quezon Avenue, Quezon City",14.6318,121.017
LTFRB_522,6,"Captain F. Samano, Caloocan City",14.7618,121.045
LTFRB_1739,6,"Epifanio de los Santos Avenue, Lungsod ng Pasay",14.5357,120.986
LTFRB_2055,6,"Epifanio de los Santos Avenue /  Shaw Blvd Intersection, Mandaluyong City, Manila",14.5811,121.054
LTFRB_3280,6,"Ortigas Ave, Pasig City, Manila",14.5888,121.066
LTFRB_1973,6,"Ayala Ave, Makati City, Manila",14.5583,121.019
LTFRB_985,6,"Batasan Road / Commonwealth Avenue Intersection, Quezon City",14.6868,121.087
LTFRB_1974,6,"Ayala Ave, Makati City, Manila",14.5597,121.017
LTFRB_1381,6,"Fisher Mall, Quezon Avenue, Quezon City",14.6337,121.02
LTFRB_2621,6,"Alabang-South Station Ramp, Muntinlupa City, Manila",14.4231,121.045
LTFRB_1730,6,"Taft Ave, Lungsod ng Pasay",14.5551,120.997
LTFRB_1418,6,"Dimasalang / Aurora Boulevard Intersection, Quezon City",14.6239,120.989
LTFRB_1984,6,"Epifanio de los Santos Avenue / Senator Gil Puyat Ave, Makati City, Manila",14.555,121.035
LTFRB_1392,6,"Quezon Avenue / West 6th Intersection, Quezon City",14.6382,121.028
LTFRB_1992,6,"Epifanio de los Santos Avenue, Makati City, Manila",14.5671,121.046
LTFRB_1400,6,"Childrens Medical Center, Quezon Avenue, Quezon City",14.6471,121.042
LTFRB_2096,6,"Aurora Blvd / Epifanio de los Santos Avenue Intersection, Quezon City, Manila",14.6214,121.05
LTFRB_1010,6,"Philippine Coconut Authority, Commonwealth Avenue, Quezon City",14.6536,121.053
LTFRB_3816,6,"Guerilla / Lazaro St Intersection, Marikina City, Manila",14.6379,121.097
LTFRB_731,6,"Quirino Highway, Quezon City",14.7206,121.04
LTFRB_1930,6,"Senator Gil Puyat Ave, Makati City",14.5571,121.006
LTFRB_1540,6,"Rizal Avenue, Manila",14.6101,120.982
LTFRB_1235,6,"Epifanio de los Santos Avenue / Congressional Avenue Intersection, Quezon City",14.6576,121.02
LTFRB_3006,6,"A. Luna St / Caruncho Ave Intersection, Pasig City, Manila",14.5608,121.077
LTFRB_1933,6,"Senator Gil Puyat Ave, Makati City",14.5603,121.013
LTFRB_551,6,"Quirino Highway / Maligaya Intersection, Caloocan City",14.7353,121.059
LTFRB_4489,6,"Padre Burgos St / Taft Ave, Manila",14.5904,120.981
LTFRB_1311,6,"Andreas Bonifacio / Sgt. Emilio Rivera ntersection, Quezon City",14.6438,120.994
LTFRB_1929,6,"Senator Gil Puyat Ave / Washington Intersection, Makati City",14.5588,121.01
LTFRB_1768,6,"Senator Gil Puyat Ave, Lungsod ng Pasay, Manila",14.5523,120.99
LTFRB_1496,6,"Halcon / Espana Boulevard Intersection, Manila",14.6169,121.001
LTFRB_1659,5,"Leon Guinto Sr. / G. Apacible Inreesection, Manila",14.5788,120.988
LTFRB_1227,5,"Town and Country Gardenville, Congressional Avenue, Quezon City",14.6665,121.032
LTFRB_2688,5,"Alvarez Extension, Las Piñas City, Manila",14.4188,120.997
LTFRB_1703,5,"HP Village Square, Pablo Ocampo Sr., Manila",14.5602,120.99
LTFRB_1653,5,"Taft Ave / Padre Faura Intersection, Manila",14.5799,120.986
LTFRB_1640,5,"Padre Burgos St, Manila",14.586,120.98
LTFRB_643,5,"Bagabaguin Road / North Luzon Expressway Intersection, Caloocan City",14.7085,120.993
LTFRB_2615,5,"South Luzon Expressway / Concepcion St, Muntinlupa City, Manila",14.445,121.045
LTFRB_1652,5,"Taft Ave / T.M. Kalaw Intersection, Manila",14.5836,120.984
LTFRB_400,5,"Wet Market, Juan Luma, Manila",14.6081,120.969
LTFRB_272,5,"Samson Road / Buklod Ng Nayon Intersection, Malabon City",14.6586,120.968
LTFRB_384,5,"Moriones / Sta. Maria Intersection, Manila",14.6101,120.967
LTFRB_1642,5,"Taft Ave, Manila",14.5921,120.98
LTFRB_3784,5,"Shoe Ave, Marikina City, Manila",14.6349,121.097
LTFRB_264,5,"Areneta Square Mall, Samson Road, Caloocan City",14.6571,120.984
LTFRB_2757,5,"National Hwy / Halang Rd, Biñan City, Manila",14.3394,121.072
LTFRB_3792,5,"Sumulong Hwy, Marikina City, Manila",14.6358,121.096
LTFRB_2640,5,"Yellow Station, South Station Complex Spectrum Midway Extension,  Muntinlupa City, Manila",14.4205,121.042
LTFRB_1655,5,"Taft Ave / Josefa Llanes Escoda Intersection, Manila",14.5773,120.988
LTFRB_2707,5,"Civic Dr, Muntinlupa City, Manila",14.416,121.044
LTFRB_1694,5,"Taft Avenue / Pablo Ocampo Sreet, Avenue, Manila",14.563,120.996
LTFRB_3869,5,"Pheonix Sun Business Park, Quezon City, Manila",14.6146,121.075
LTFRB_383,5,"Moriones / Masinop Intersection, Manila",14.6097,120.963
LTFRB_3111,5,"Kalayaan Ave, Makati City, Manila",14.5619,121.055
LTFRB_1628,5,"Bonifacio Drive, Manila",14.59,120.971
LTFRB_280,5,"Malabon City Square, Circimferential Road 4, Malabon City",14.6576,120.962
LTFRB_732,5,"The Church of Jesus Christ of Latter Day Saints, Sarmiento, Quezon City",14.7197,121.041
LTFRB_3090,5,"7th Ave / McKinley Pkwy Intersection, Taguig City, Manila",14.5469,121.048
LTFRB_3093,5,"26th Street / McKinley Pkwy Intersection, Taguig City, Manila",14.5475,121.054
LTFRB_1480,5,"Lacson Avenue / Alfonso Mendoza Intersection, Manila",14.6161,120.987
LTFRB_148,5,"Simbahanng Church, Osmena Street, Obando",14.7098,120.937
LTFRB_1478,5,"Dimaslang, Manila",14.6162,120.989
LTFRB_1477,5,"Dimaslang, Manila",14.6176,120.989
LTFRB_3372,5,"W Bank Rd / Ortigas Ave Intersection, Pasig City, Manila",14.5901,121.092
LTFRB_986,5,"Commonwealth Avenue, Quezon City",14.689,121.087
LTFRB_1463,5,"Tomas Mapua / Batangas Intersection, Manila",14.6206,120.982
LTFRB_3132,5,"Dr Jose P. Rizal Extension, Makati City, Manila",14.5678,121.047
LTFRB_3335,5,"Manila East Rd / Baytown Intersection, Angono, Manila",14.5347,121.151
LTFRB_3153,5,"Dr Jose P. Rizal Extension / 10th Ave Intersection, Makati City, Manila",14.5552,121.065
LTFRB_3167,5,"Shaw College, Shaw Blvd, Manila",14.5763,121.06
LTFRB_3169,5,"Shaw Blvd, Mandaluyong City, Manila",14.5794,121.056
LTFRB_1437,5,"Dimasalang Birdge / New Antipolo Intersection, Quezon City",14.6207,120.989
LTFRB_327,5,"2th Avenue West, Teodoro, Caloocan City",14.6404,120.983
LTFRB_3173,5,"Shaw Blvd, Pasig City, Manila",14.5737,121.062
LTFRB_1430,5,"Light Rail Transit Line / Bulacan Intersection, Quezon City",14.6268,120.983
LTFRB_1429,5,"Cavite, Quezon City",14.6242,120.983
LTFRB_1427,5,"Cavitie / Leonor Rivera Intersection, Quezon City",14.6242,120.987
LTFRB_3177,5,"Rizal Medical Centre, Pasig Blvd, Pasig City, Manila",14.5646,121.07
LTFRB_1383,5,"Quezon Avenue, Quezon City",14.6358,121.024
LTFRB_3182,5,"San Miguel Ave, Pasig City, Manila",14.5817,121.06
LTFRB_1395,5,"Quezon Avenue, Quezon City",14.6417,121.033
LTFRB_76,5,"Parish Church or Isidro Labarador, MacArthur Highway, Malinta, Valenzuela City",14.6956,120.964
LTFRB_1409,5,"Andres Bonifacio near Manila North Cemetary, Quezon City",14.6355,120.993
LTFRB_3192,5,"E.Abello / Ortigas Ave Intersection, Pasig City, Manila",14.5904,121.062
LTFRB_3199,5,"Ortigas Ave, Pasig City, Manila",14.5895,121.076
LTFRB_1509,5,"Alfonso Mendoza, Manila",14.6119,120.986
LTFRB_1517,5,"P. Noval / España Blvd Intersection, Manila",14.6067,120.989
LTFRB_1519,5,"España Blvd / Arsenio H. Lacson Ave  Intersection, Manila",14.6097,120.993
LTFRB_2892,5,"South Luzon Expressway, Taguig City, Manila",14.4923,121.043
LTFRB_791,5,"Quirino Highway, Quezon City",14.7353,121.062
LTFRB_1241,5,"Phoenix, Epifanio de los Santos Avenue, Quezon City",14.6565,121.026
LTFRB_282,5,"Circimferential Road 4 / Gen. P. Borromro, Malabon City",14.6553,120.957
LTFRB_1613,5,"A F. Torres / Ronquillo Intersection, Manila",14.6003,120.981
LTFRB_3733,5,"Amang Rodriguez Ave, Pasig City, Manila",14.6173,121.093
LTFRB_285,5,"Circimferential Road 4, Malabon City",14.6525,120.95
LTFRB_1608,5,"Dasmariñas / Juan Luna Intersection, Manila",14.5971,120.975
LTFRB_2858,5,"National Hwy, San Pedro, Manila",14.3656,121.052
LTFRB_1260,5,"Epifanio de los Santos Avenue, Quezon City",14.6522,121.032
LTFRB_2881,5,"National Hwy, Muntinlupa City, Manila",14.4143,121.046
LTFRB_96,5,"MacArthur Highway / Del Monte Intersection, Malabon City",14.6677,120.982
LTFRB_2889,5,"South Luzon Expressway, Parañaque City, Manila",14.4833,121.045
LTFRB_2891,5,"South Luzon Expressway, Taguig City, Manila",14.4882,121.045
LTFRB_2896,5,"E Service Rd, Parañaque City, Manila",14.5041,121.037
LTFRB_1524,5,"Claro M. Recto Ave / Nicanor Reyes Street Intersection, Manila",14.6022,120.987
LTFRB_1721,5,"Leveriza, Lungsod ng Pasay",14.5524,120.995
LTFRB_1573,5,"Valariano Fugoso, Manila",14.606,120.982
LTFRB_1572,5,"Valariano Fugoso, Manila",14.6077,120.982
LTFRB_2908,5,"South Luzon Expressway, Taguig City, Manila",14.5238,121.026
LTFRB_784,5,"Quirino Highway, Calcoocan City",14.7427,121.078
LTFRB_3535,5,"Ortigas Avenue Extension, Antipolo City, Manila",14.5867,121.156
LTFRB_3532,5,"Ortigas Avenue Extension, Antipolo City, Manila",14.5867,121.161
LTFRB_1300,5,"Del Monte Avenue / San Jose D Tuazon Intersection, Quezon City",14.6378,120.996
LTFRB_3527,5,"Ortigas Avenue Extension, Antipolo City, Manila",14.5875,121.168
LTFRB_1538,5,"Jose R. Reyes Memorial Medical Center, Rizal Avenue, Manila",14.6137,120.983
LTFRB_3034,5,"Ortigas Ave / Dr Sixto Antonio Ave Intersection, Pasig City, Manila",14.5905,121.085
LTFRB_1529,5,"Oroquieta / Mayhaligue Intersection, Manila",14.6087,120.983
LTFRB_1526,5,"LRT Doroteo Jose-Recto Station Walkway / Rizal Avenue Intersection, Manila",14.6037,120.983
LTFRB_260,5,"P. Bonifacio Street / Caimito Road Intersection,  Malabon City",14.6588,120.981
LTFRB_1402,5,"Quezon Avenue (North Triangle), Quezon City",14.6489,121.045
LTFRB_1014,5,"Elliptical Rd / North Avenue Intersection, Quezon City",14.6514,121.047
LTFRB_2084,5,"Eulogio Rodriguez Sr. Ave / Hillcrest Intersection, Quezon City, Manila",14.6247,121.042
LTFRB_4301,5,"National Highway / Unnamed Rd, San Pedro, Manila",14.3483,121.065
LTFRB_2300,5,"Roxas Blvd, Parañaque City, Manila",14.5346,120.993
LTFRB_2095,5,"Aurora Blvd / N Domingo Intersection, Quezon City, Manila",14.6198,121.046
LTFRB_623,5,"Genteral Luis / Pasacola Road Intersection, Caloocan City",14.7218,121.033
LTFRB_625,5,"Genteral Luis / East Street Intersection, Caloocan City",14.7211,121.03
LTFRB_628,5,"Genteral Luis / Katipunan Extension Intersection, Caloocan City",14.7194,121.022
LTFRB_4508,5,"Rizal Ave / 8th Ave West, Caloocan City, Manila",14.6488,120.984
LTFRB_2085,5,"Eulogio Rodriguez Sr. Ave, Quezon City, Manila",14.6235,121.045
LTFRB_2334,5,"Quirino Ave / T. Claudio Intersection, Parañaque City, Manila",14.5261,120.997
LTFRB_1935,5,"Don Chino Roces Avenue / Pryce Center, Makati City",14.5626,121.011
LTFRB_1116,5,"North Luzon Expressway, Valenzuela City",14.7069,120.994
LTFRB_1117,5,"North Luzon Expressway / Santiago Street Intersection, Valenzuela City",14.7049,120.995
LTFRB_1950,5,"Epifanio de los Santos Avenue, Lungsod ng Makati, Manila",14.539,121.012
LTFRB_1796,5,"Jollibee Figueras Legarda / Bustillos Intersection, Manila",14.6017,120.993
LTFRB_1795,5,"Ramon Magsaysay Blvd, Manila",14.6008,120.995
LTFRB_2405,5,"Quirino Ave, Parañaque City, Manila",14.4919,120.988
LTFRB_1001,5,"Loyola Memorial Chapel, Commonwealth Avenue, Quezon City",14.6658,121.071
LTFRB_4237,5,"MRT-3 Magallanes Station, EDSA, Makati City, Manila",14.5419,121.019
LTFRB_4500,5,"Kamuning Rd / L. Siangio, Quezon City, Manila",14.6274,121.034
LTFRB_1934,5,"Ayala Ave / Senator Gil Puyat Ave Intersection, Makati City",14.5613,121.016
LTFRB_1773,5,"P. Casal, Manila",14.5933,120.988
LTFRB_2125,5,"New York Ave, Quezon City, Manila",14.6273,121.052
LTFRB_2169,5,"15th Ave / P. Tuazon Blvd, Quezon City, Manila",14.62,121.06
