stop_id,total_degree,stop_name,stop_lat,stop_lon
LTFRB_1984,11,"Epifanio de los Santos Avenue / Senator Gil Puyat Ave, Makati City, Manila",14.555,121.035
LTFRB_2882,11,"South Luzon Expressway, Muntinlupa City, Manila",14.4582,121.045
LTFRB_1383,11,"Quezon Avenue, Quezon City",14.6358,121.024
LTFRB_1117,11,"North Luzon Expressway / Santiago Street Intersection, Valenzuela City",14.7049,120.995
LTFRB_1930,11,"Senator Gil Puyat Ave, Makati City",14.5571,121.006
LTFRB_2358,11,"NAIA Rd, Parañaque City, Manila",14.516,121.003
LTFRB_3178,11,"Pasig Boulevard Extension, Pasig City, Manila",14.5663,121.072
LTFRB_4489,11,"Padre Burgos St / Taft Ave, Manila",14.5904,120.981
LTFRB_4488,11,"Padre Burgos St, Manila",14.5872,120.981
LTFRB_1642,11,"Taft Ave, Manila",14.5921,120.98
LTFRB_3090,11,"7th Ave / McKinley Pkwy Intersection, Taguig City, Manila",14.5469,121.048
LTFRB_101,11,"Bonifacio Market, MacArthur Highway, Caloocan City",14.6576,120.984
LTFRB_837,11,"Commonwealth Avenue, Quezon City",14.7065,121.07
LTFRB_1730,11,"Taft Ave, Lungsod ng Pasay",14.5551,120.997
LTFRB_1452,11,"T. Mapua / Laguna Intersection, Quezon City",14.6219,120.982
LTFRB_3786,11,"J. Chanyungco St / Mayor Gil Fernando Ave Intersection, Marikina City, Manila",14.6328,121.101
LTFRB_1641,11,"Padre Burgos /  Taft Ave Intersection St, Manila",14.5882,120.981
LTFRB_1437,11,"Dimasalang Birdge / New Antipolo Intersection, Quezon City",14.6207,120.989
LTFRB_3372,11,"W Bank Rd / Ortigas Ave Intersection, Pasig City, Manila",14.5901,121.092
LTFRB_839,11,"Commonwealth Avenue / Winston Intersection, Quezon City",14.7052,121.078
LTFRB_1652,11,"Taft Ave / T.M. Kalaw Intersection, Manila",14.5836,120.984
LTFRB_1713,11,"Senator Gil Puyat Ave, Lungsod ng Pasay, Manila",14.5536,120.996
LTFRB_1723,11,"Taft Ave / College Rd Intersection, Lungsod ng Pasay",14.5502,120.998
LTFRB_1703,11,"HP Village Square, Pablo Ocampo Sr., Manila",14.5602,120.99
LTFRB_3132,11,"Dr Jose P. Rizal Extension, Makati City, Manila",14.5678,121.047
LTFRB_1622,11,"Padre Burgos St, Manila",14.5938,120.98
LTFRB_2640,11,"Yellow Station, South Station Complex Spectrum Midway Extension,  Muntinlupa City, Manila",14.4205,121.042
LTFRB_1658,11,"Leon Guinto Sr. / Pedro Gil Intersection, Manila",14.5765,120.989
LTFRB_71,11,"Inglesia Ni Cristo, MacArthur Highway, Dalandanan, Valenzuela City",14.7013,120.962
LTFRB_1418,11,"Dimasalang / Aurora Boulevard Intersection, Quezon City",14.6239,120.989
LTFRB_1478,11,"Dimaslang, Manila",14.6162,120.989
LTFRB_985,11,"Batasan Road / Commonwealth Avenue Intersection, Quezon City",14.6868,121.087
LTFRB_1524,11,"Claro M. Recto Ave / Nicanor Reyes Street Intersection, Manila",14.6022,120.987
LTFRB_1614,11,"Rizal Avenue, Manila",14.6015,120.982
LTFRB_1480,11,"Lacson Avenue / Alfonso Mendoza Intersection, Manila",14.6161,120.987
LTFRB_263,11,"Lapu-lapu / Samson Road Intersection, Malabon City",14.6572,120.982
LTFRB_2037,10,"L. Gonzales / F. Ortigas, Mandaluyong City, Manila",14.587,121.035
LTFRB_2038,10,"Shaw Blvd / Acacia Ln Intersection, Mandaluyong City, Manila",14.5894,121.035
LTFRB_1151,10,"Epifanio de los Santos Avenue, Caloocan City",14.6573,120.998
LTFRB_2111,10,"Judge Damien Jimenez / Kamuning Rd, Quezon City, Manila",14.6286,121.039
LTFRB_1496,10,"Halcon / Espana Boulevard Intersection, Manila",14.6169,121.001
LTFRB_1843,10,"Guadalcanal St, Manila",14.6007,121.017
LTFRB_2119,10,"Kamias Rd / Colonel Salgado Intersection, Quezon City, Manila",14.6311,121.047
LTFRB_2112,10,"Judge Damien Jimenez, Quezon City, Manila",14.6263,121.039
LTFRB_1846,10,"Internet Cafe, Old Sta. Mesa, Manila",14.6011,121.013
LTFRB_384,10,"Moriones / Sta. Maria Intersection, Manila",14.6101,120.967
LTFRB_1395,10,"Quezon Avenue, Quezon City",14.6417,121.033
LTFRB_1903,10,"Gen M Malvar, Manila",14.5758,120.991
LTFRB_2125,10,"New York Ave, Quezon City, Manila",14.6273,121.052
LTFRB_1517,10,"P. Noval / España Blvd Intersection, Manila",14.6067,120.989
LTFRB_1538,10,"Jose R. Reyes Memorial Medical Center, Rizal Avenue, Manila",14.6137,120.983
LTFRB_1974,10,"Ayala Ave, Makati City, Manila",14.5597,121.017
LTFRB_2177,10,"Aurora Blvd, Quezon City, Manila",14.6248,121.057
LTFRB_321,10,"P. Sevilla Street / 2th Avenue West Intersection, Caloocan City",14.6334,120.981
LTFRB_623,10,"Genteral Luis / Pasacola Road Intersection, Caloocan City",14.7218,121.033
LTFRB_96,10,"MacArthur Highway / Del Monte Intersection, Malabon City",14.6677,120.982
LTFRB_1300,10,"Del Monte Avenue / San Jose D Tuazon Intersection, Quezon City",14.6378,120.996
LTFRB_628,10,"Genteral Luis / Katipunan Extension Intersection, Caloocan City",14.7194,121.022
LTFRB_2022,10,"Dr Jose P. Rizal Ave, Makati City, Manila",14.568,121.044
LTFRB_1004,10,"Commonwealth Avenue / Central Avenue Intersection, Quezon City",14.6617,121.065
LTFRB_1509,10,"Alfonso Mendoza, Manila",14.6119,120.986
LTFRB_1008,10,"University of The Phillippines - Ayala Land Technohub, Commonwealth Avenue, Quezon City",14.6563,121.057
LTFRB_2206,10,"Asian College of Science and Technology, Aurora Blvd, Quezon City, Manila",14.6292,121.069
LTFRB_1163,10,"5th Street / 10th Avenue, Caloocan City",14.6514,120.988
LTFRB_3816,10,"Guerilla / Lazaro St Intersection, Marikina City, Manila",14.6379,121.097
LTFRB_3792,10,"Sumulong Hwy, Marikina City, Manila",14.6358,121.096
LTFRB_1689,10,"Leon Guinto Sr., Manila",14.5742,120.991
LTFRB_1979,10,"Ayala Ave, Makati City, Manila",14.553,121.027
LTFRB_1242,10,"Epifanio de los Santos Avenue / Bansalangin Intersection, Quezon City",14.6561,121.027
LTFRB_2888,10,"South Luzon Expressway, Taguig City, Manila",14.4804,121.045
LTFRB_2084,10,"Eulogio Rodriguez Sr. Ave / Hillcrest Intersection, Quezon City, Manila",14.6247,121.042
LTFRB_1795,10,"Ramon Magsaysay Blvd, Manila",14.6008,120.995
LTFRB_1056,10,"Quirino Highway, Quezon City",14.6918,121.029
LTFRB_1381,10,"Fisher Mall, Quezon Avenue, Quezon City",14.6337,121.02
LTFRB_1783,10,"Quezon Blvd, Manila",14.6014,120.985
LTFRB_2908,10,"South Luzon Expressway, Taguig City, Manila",14.5238,121.026
LTFRB_4510,10,"Circumferential Road 3 / M.H. Del Pilar St, Caloocan City, Manila",14.6445,120.984
LTFRB_1761,10,"Epifanio de los Santos Avenue, Lungsod ng Pasay",14.5382,121.005
LTFRB_991,10,"Commonwealth Avenue / Llang-Llang, Quezon City",14.685,121.086
LTFRB_1573,10,"Valariano Fugoso, Manila",14.606,120.982
LTFRB_2300,10,"Roxas Blvd, Parañaque City, Manila",14.5346,120.993
LTFRB_1429,10,"Cavite, Quezon City",14.6242,120.983
LTFRB_834,10,"Belfast / Bulalakaw Intersection, Quezon City",14.7328,121.056
LTFRB_1427,10,"Cavitie / Leonor Rivera Intersection, Quezon City",14.6242,120.987
LTFRB_1735,10,"F.B. Harrison St / Ignacio, Lungsod ng Pasay",14.5395,120.995
LTFRB_993,10,"Our Lady of Mercy School, 14.680409, 121.084434",14.6804,121.084
LTFRB_1400,10,"Childrens Medical Center, Quezon Avenue, Quezon City",14.6471,121.042
LTFRB_3006,10,"A. Luna St / Caruncho Ave Intersection, Pasig City, Manila",14.5608,121.077
LTFRB_1077,10,"SM Hypermarket, North Avenue, Quezon City",14.6548,121.034
LTFRB_643,10,"Bagabaguin Road / North Luzon Expressway Intersection, Caloocan City",14.7085,120.993
LTFRB_3535,10,"Ortigas Avenue Extension, Antipolo City, Manila",14.5867,121.156
LTFRB_1572,10,"Valariano Fugoso, Manila",14.6077,120.982
LTFRB_1463,10,"Tomas Mapua / Batangas Intersection, Manila",14.6206,120.982
LTFRB_3093,10,"26th Street / McKinley Pkwy Intersection, Taguig City, Manila",14.5475,121.054
LTFRB_1227,10,"Town and Country Gardenville, Congressional Avenue, Quezon City",14.6665,121.032
LTFRB_113,10,"Rizal Avenue / Jose Abad Santos Avenue Interchange, Caloocan City",14.632,120.981
LTFRB_2039,10,"M. Yulo / Shaw Blvd Intersection, Mandaluyong City, Manila",14.5906,121.034
LTFRB_2889,10,"South Luzon Expressway, Parañaque City, Manila",14.4833,121.045
