origin,origin_stop_name,destination,dest_stop_name,travel_time_formatted,num_transfers,path_length_stops,travel_time_seconds
LTFRB_2820,"South Luzon Expressway, Biñan City, Manila",LTFRB_3913,"Norzagaray-Santa Maria Rd / Celestino, Santa Maria, Manila",05:09:39,19,185,18579.0
LTFRB_2564,"Molino-Paliparan Rd, Bacoor City, Manila",LTFRB_3605,"Sumulong Hwy, Antipolo City, Manila",03:27:55,14,130,12475.0
LTFRB_3368,"E Bank Rd, Pasig City, Manila",LTFRB_3877,"Olympic Badminton Club, Quezon City, Manila",00:17:33,1,13,1053.0
LTFRB_3764,"A. Bonifacio Ave, Marikina City, Manila",LTFRB_4289,"Andrews Av, Pasay City, Manila",01:31:50,11,66,5510.0
LTFRB_259,"P. Bonifacio Street / Mango Road Intersection,  Malabon City",LTFRB_2896,"E Service Rd, Parañaque City, Manila",01:37:07,12,46,5827.0
LTFRB_3489,"Roman Rojas Rd, Teresa, Manila",LTFRB_3741,"J. P. Rizal St, Marikina City, Manila",01:44:39,6,102,6279.0
LTFRB_2000,"J.P. Rizal Ave / Honradez Intersection, Makati City, Manila",LTFRB_3775,"Nicanor Roxas St, Marikina City, Manila",01:06:41,8,41,4001.0
LTFRB_1903,"Gen M Malvar, Manila",LTFRB_2057,"Epifanio de los Santos Avenue, Mandaluyong City, Manila",00:38:13,4,22,2293.0
LTFRB_4022,"Dr Eduardo V. Roquero Sr. Rd, City of San Jose del Monte, Manila",LTFRB_418,"Joel Vulcanizing Shop, Quirino Highway, City of San Jose del Monte",00:26:02,0,27,1562.0
LTFRB_2335,"Airport Rd / Domestic Rd Intersection, Parañaque City, Manila",LTFRB_329,"North Bay Boulevard / Lacson Intersection, City of Navotas",01:17:23,8,56,4643.0
LTFRB_219,"Governor Pascual, City of Navotas",LTFRB_4928,"Mindanau Avenue, Caloocan City",01:30:43,10,74,5443.0
FORT_1,"McKinley Parkway, Taguig City",LTFRB_2529,"Molino Rd, Bacoor City, Manila",01:40:40,9,60,6040.0
LTFRB_2873,"NIA Rd / National Hwy Intersection, Muntinlupa City, Manila",LTFRB_4385,"Security / Prudential, Caloocan City, Manila",03:35:38,20,123,12938.0
EDSA_3,EDSA Carousel Bus Stop - Ayala,LTFRB_3521,"Southridge Private High School, near L. Sumulong Memorial Cir, Antipolo City, Manila",Infinite,-1,0,inf
LTFRB_1916,"Pablo Ocampo Sr. / G.Del Pilar, Manila",LTFRB_4176,"North Luzon Expressway, Marilao, Manila",01:55:42,9,83,6942.0
LTFRB_1364,"Quezon Avenue, Quezon City",LTFRB_2871,"Veterans' Bank, National Hwy, Muntinlupa City, Manila",02:22:07,14,58,8527.0
LTFRB_1726,"Dominga St, Lungsod ng Pasay",LTFRB_2009,"South Ave / Pablo Ocampo Sr. Extension, Makati City, Manila",00:13:33,2,10,813.0
LTFRB_2117,"Kamuning Rd, Quezon City, Manila",LTFRB_3159,"Buting Elementary School, M. Concepcion Ave, Pasig City, Manila",00:55:11,8,48,3311.0
