stop_id,closeness_centrality,stop_name,stop_lat,stop_lon
LTFRB_2284,0.00021526661848641503,"Columbia / Cambridge INtersection, Quezon City, Manila",14.6254,121.053
LTFRB_2114,0.00021525441826585653,"Scout Ybardolaza / Timog Ave Intersection, Quezon City, Manila",14.634,121.04
LTFRB_2161,0.0002152420809253231,"Col. Bonny Serrano / 8th Avenue Intersection, Quezon City, Manila",14.6116,121.058
LTFRB_2250,0.00021522742042376318,"East Ave, Quezon City, Manila",14.6399,121.047
LTFRB_2175,0.00021518591295506962,"General Romulo Ave / Aurora Blvd Intersection, Quezon City, Manila",14.6239,121.055
LTFRB_1324,0.00021517803259733532,"Mayon / Calamba Intersection, Quezon City",14.6276,120.997
LTFRB_2113,0.0002151705680480023,"Scout Ybardolaza / Scout Fernandez Intersection, Quezon City, Manila",14.6317,121.039
LTFRB_1533,0.00021514518256950056,"Felix Huertas, Manila",14.6115,120.984
LTFRB_4407,0.0002151280942407136,"Anapolis, San Juan, Manila",14.6062,121.057
LTFRB_1535,0.0002151094276770915,"Felix Huertas, Manila",14.6147,120.985
LTFRB_1258,0.00021509234502741222,"West Avenue, Quezon City",14.6542,121.03
LTFRB_2249,0.00021507990772001842,"East Ave, Quezon City, Manila",14.6422,121.047
LTFRB_1497,0.0002150644198994336,"Mayon Avenue / Florentino Intersection, Manila",14.6193,121.001
LTFRB_1262,0.00021502739843020356,"Epifanio de los Santos Avenue, Quezon City",14.6495,121.034
LTFRB_1802,0.00021499625260108508,"Arsenio H. Lacson Ave / J. Fajardo Intersection, Manila",14.6076,120.995
LTFRB_1831,0.0002149668623738814,"Sociego, Quezon City",14.6041,121.017
LTFRB_2085,0.00021492259482203143,"Eulogio Rodriguez Sr. Ave, Quezon City, Manila",14.6235,121.045
LTFRB_1468,0.0002149208292336753,"Camarines, Manila",14.6181,120.984
LTFRB_1832,0.0002149026226793167,"Aurora Blvd, Quezon City",14.6058,121.019
LTFRB_1340,0.00021489871744976208,"D Tuazon / Don Manuel Agregado Intersection, Quezon City",14.6303,120.999
LTFRB_1376,0.00021486394152690953,"Roosevelt Avenue, Quezon City",14.639,121.017
LTFRB_2098,0.00021484226526785068,"Champaca / Lilac Intersection, Quezon City, Manila",14.6271,121.02
LTFRB_4437,0.00021480829586611227,"Maryland / Don Alfredo Egea, Quezon City, Manila",14.6258,121.044
LTFRB_4440,0.00021474515532545057,"Ermin Garcia Ave / Sgt J. Catolos, Quezon City, Manila",14.6261,121.041
LTFRB_1527,0.00021469153964962597,"Lope De Vega / Oroquieta Intersection, Manila",14.6067,120.983
LTFRB_1388,0.00021467498583044244,"West Avenue Shop, West Avenue / Mabuhay Intersection, Quezon City",14.6441,121.027
LTFRB_1512,0.00021466120933057056,"Gen. Concepcion / Laong Laan Intersection, Manila",14.613,120.988
LTFRB_1843,0.00021465969402353124,"Guadalcanal St, Manila",14.6007,121.017
LTFRB_4501,0.0002146497663397723,"K-1st, Quezon City, Manila",14.6278,121.038
LTFRB_1793,0.00021463712438503233,"Tuberias, Manila",14.5995,120.998
LTFRB_1476,0.00021462311667413088,"Dimaslang / Ruperto S Cristobal Street Intersection, Manila",14.6191,120.989
LTFRB_2105,0.00021458693527104007,"Timog Ave / Scout Tuason Intersection, Quezon City, Manila",14.6353,121.033
LTFRB_1771,0.00021457762390219697,"Legarda, Manila",14.5977,120.99
LTFRB_1833,0.00021457281613052406,"Gregorio Araneta Ave, Quezon City",14.6079,121.017
LTFRB_4499,0.00021456770380804755,"L. Siangio / K-3rd, Quezon City, Manila",14.6262,121.035
LTFRB_2278,0.0002145375362349913,"Panay Ave, Quezon City, Manila",14.6315,121.019
LTFRB_1792,0.0002145261752168075,"Tuberias, Manila",14.5989,120.996
LTFRB_1835,0.00021449734564687645,"Landargun / Gregorio Araneta Ave Intersection, Quezon City",14.6114,121.017
LTFRB_1791,0.0002144875901547494,"Tuberias, Manila",14.5983,120.993
LTFRB_1797,0.0002144774819253602,"M. Earnshaw, Manila",14.6041,120.993
LTFRB_2107,0.00021442080901067393,"Tomas Morato Ave / Scout De Guia Intersection, Quezon City, Manila",14.6311747463,121.034553051
LTFRB_2121,0.00021441206179792412,"Kamias Rd / K-I Intersection, Quezon City, Manila",14.6325,121.052
LTFRB_1261,0.00021440518037345142,"Epifanio de los Santos Avenue / Trinoma Access Road, Quezon City",14.6505,121.034
LTFRB_4438,0.0002143618993718505,"Maryland / Ermin Garcia Ave, Quezon City, Manila",14.6265,121.042
LTFRB_2132,0.00021435711107401425,"12th / Dona Juana S. Rodriguez Ave Intersection, Quezon City, Manila",14.6205,121.028
LTFRB_2123,0.0002143520188362466,"K-10th / Colonel Salgado Intersection, Quezon City, Manila",14.6288,121.048
